datum,M01AB
31-01-2014,127.69
28-02-2014,133.32
31-03-2014,137.44
30-04-2014,113.1
31-05-2014,101.79
30-06-2014,112.07
31-07-2014,117.06
31-08-2014,134.79
30-09-2014,108.78
31-10-2014,154.75
30-11-2014,138.08
31-12-2014,131.9
31-01-2015,135.91
28-02-2015,115.71
31-03-2015,156.04
30-04-2015,154.5
31-05-2015,160.02
30-06-2015,151.87
31-07-2015,175.61
31-08-2015,181.69
30-09-2015,166.22
31-10-2015,195.81
30-11-2015,152.78
31-12-2015,159.46
31-01-2016,171.65
29-02-2016,173.81
31-03-2016,156.64
30-04-2016,166.61
31-05-2016,167.36
30-06-2016,169.67
31-07-2016,203.97
31-08-2016,211.13
30-09-2016,172.96
31-10-2016,186.76
30-11-2016,175.18
31-12-2016,169.32
31-01-2017,0
28-02-2017,139.69
31-03-2017,162.85
30-04-2017,155.61
31-05-2017,143.66
30-06-2017,122.33
31-07-2017,159.67
31-08-2017,170.15
30-09-2017,138.33
31-10-2017,137.64
30-11-2017,163.85
31-12-2017,160.01
31-01-2018,132.28
28-02-2018,128.36
31-03-2018,146.16
30-04-2018,170.02
31-05-2018,160.52
30-06-2018,141.18
31-07-2018,150.18
31-08-2018,140
30-09-2018,153.52
31-10-2018,144.71
30-11-2018,172.29
31-12-2018,147.71
31-01-2019,179.7
28-02-2019,133.73
31-03-2019,154.52
30-04-2019,161.39
31-05-2019,168.04
30-06-2019,151.54
31-07-2019,181
31-08-2019,181.91
30-09-2019,161.07
31-10-2019,44.37
